it	h	LC
780	4.629	1.7715
781	4.1538	1.8479
782	4.5983	1.8767
783	3.5397	1.988
784	4.1122	1.9829
785	4.6569	1.7956
786	4.8201	1.7653
787	3.4716	1.9297
788	4.5791	1.7484
789	4.4165	1.7441
790	4.6823	1.8192
791	3.5481	1.9706
792	4.1716	1.9229
793	4.7981	1.8309
794	3.4503	1.9823
795	4.6828	1.8379
796	3.8794	2.0013
797	4.922	1.9466
798	4.6671	1.7004
799	4.8147	1.9372
800	4.6008	1.8292
801	4.7229	1.9191
802	4.3463	1.829
803	4.6762	1.7808
804	3.8693	1.8885
805	4.5975	1.8049
806	3.5229	1.9798
807	3.8853	2.0856
808	4.695	1.835
809	3.8524	1.8986
810	3.723	1.8285
811	3.9943	1.8629
812	4.6435	1.8455
813	3.7372	1.9532
814	4.726	1.8552
815	4.5135	1.7484
816	4.6379	1.7736
817	4.4327	1.7961
818	4.6113	1.8254
819	4.7752	1.954
820	3.8879	1.8624
821	4.4489	1.9343
822	4.1169	1.9398
823	3.8094	1.9311
824	4.6186	1.8015
825	3.9173	1.897
826	3.4746	1.9521
827	3.4677	1.9412
828	4.6809	1.8253
829	3.5309	1.9467
830	4.8109	1.8465
831	3.6195	1.9252
832	4.0621	1.8989
833	3.7325	1.94
834	3.2719	1.8447
835	4.7437	1.7768
836	4.4771	1.7407
837	4.6593	1.7976
838	4.6262	1.8543
839	3.647	1.8912
840	4.6733	1.8509
841	4.7855	1.9029
842	4.6133	1.8121
843	3.5812	1.9178
844	3.6656	1.9374
845	3.9779	1.8673
846	4.2795	1.8978
847	3.4791	1.8829
848	4.6115	1.8734
849	4.6547	1.7586
850	3.5994	1.8783
851	4.1588	2.0596
852	4.5972	1.7019
853	4.2254	1.7457
854	4.6381	1.784
855	3.58	2.0233
856	4.3597	1.8927
857	4.7146	1.8483
858	3.883	1.9715
859	4.4539	1.7848
860	3.5336	2.0725
861	4.8739	1.8587
862	4.6795	1.8308
863	4.8226	1.896
864	3.4415	1.8873
865	4.65	1.8496
866	4.7253	1.8839
867	3.4843	1.9611
868	4.9581	1.907
869	4.7377	1.8301
870	4.6466	1.8907
871	4.7726	1.8098
872	3.9207	1.8556
873	3.5159	1.942
874	4.6156	1.8194
875	4.6854	1.82
876	4.8016	2.0121
877	4.8285	1.8859
878	4.5856	1.7593
879	3.854	1.8549
880	4.6218	1.7581
881	4.6498	1.8083
882	4.7171	1.7989
883	3.549	1.9043
884	4.5162	1.7834
885	4.0456	1.9189
886	3.8053	2.1473
887	4.5959	1.8173
888	4.9016	1.9499
889	3.7624	1.9938
890	3.9075	1.9396
891	3.882	1.9847
892	3.5556	1.9257
893	3.512	1.941
894	3.788	1.9739
895	4.7656	1.8296
896	4.3199	1.9174
897	3.3821	1.8242
898	4.4193	1.7231
899	3.7442	1.9465
900	4.4241	1.7972
901	4.2953	1.8162
902	4.4645	1.6708
903	4.548	1.8228
904	4.5546	1.8042
905	4.5548	1.7804
906	4.7063	1.8086
907	4.4932	1.8321
908	4.6449	1.831
909	4.7191	1.8611
910	4.7032	1.8694
911	4.256	1.7676
912	3.7605	2.0105
913	3.7598	2.0604
914	4.5963	1.913
915	3.9136	1.8737
916	4.5282	1.8143
917	3.7226	1.9508
918	3.4575	1.9619
919	4.8328	1.8838
920	4.6051	1.8029
921	3.5301	1.7978
922	4.6902	1.8521
923	4.6593	1.7597
924	4.7981	1.8453
925	3.5727	1.9743
926	3.8638	1.8766
927	4.6563	1.8793
928	3.8497	1.8565
929	4.5947	1.8668
930	3.8005	2.0496
931	4.6386	1.8235
932	3.471	1.9538
933	3.782	1.9592
934	3.6276	2.0409
935	3.8164	2.0149
936	3.7191	2.1041
937	3.8485	2.0712
938	3.7244	2.0918
939	4.2336	1.8481
940	3.546	1.8812
941	4.4933	1.7292
942	3.7402	1.8381
943	4.5704	1.7727
944	3.6523	1.9424
945	4.7271	1.8742
946	4.3416	1.827
947	3.8312	1.8579
948	3.8391	1.98
949	4.4439	1.9346
950	4.0279	1.872
951	3.5342	1.9431
952	3.7645	1.9856
953	4.3904	1.7367
954	3.5827	2.0125
955	3.8983	1.9647
956	4.1582	1.8406
957	4.5609	1.7562
958	3.311	1.8781
959	4.0336	1.815
960	4.1217	1.9058
961	4.5557	1.8143
962	3.7397	1.8912
963	4.6005	1.8546
964	4.7921	1.849
965	4.5195	1.7735
966	4.7587	1.8737
967	3.5948	1.9095
968	3.2794	1.8488
969	4.1668	2.0949
970	4.7225	1.836
971	3.5	1.8811
972	4.7135	1.8057
973	3.8709	1.861
974	3.7577	1.9718
975	3.8337	2.0564
976	4.4529	1.73
977	4.4176	1.8059
978	4.0556	1.934
979	4.6293	1.8339
980	4.5211	1.7883
981	4.4722	1.9694
982	3.4262	1.8797
983	3.6164	2.0243
984	4.6588	1.8558
985	4.0122	1.8212
986	4.3497	1.7382
987	3.9231	1.9697
988	4.5279	1.745
989	4.6633	1.7775
990	3.6095	1.9721
991	3.6356	1.8309
992	4.2786	1.9152
993	3.6359	1.943
994	3.881	1.9296
995	4.7006	1.8347
996	4.0562	2.1128
997	3.9066	1.9648
998	3.6361	1.8512
999	4.7983	1.8187
1000	4.5978	1.8686
